ROI,Model,N,mean,median,p25,p75,p95
L_SNc,ISO,3000,0.41387873704141764,0.4058310589353931,0.3698592515658504,0.44780613076789816,0.5107844949897643
L_SNc,DTI,3000,0.43110001394143016,0.42178619550526897,0.37211765181992545,0.4780083612284566,0.5627624046393391
L_SNc,MD-dMRI,3000,0.4527047669606175,0.44535656390524947,0.39107572979049327,0.5049134722520494,0.5813766228460159
R_SNc,ISO,3000,0.40904114369926464,0.3972995473951132,0.3753298052659733,0.4344994958864562,0.5035149697928348
R_SNc,DTI,3000,0.4268017947585425,0.4117456158076207,0.38423444681706354,0.453453563496786,0.5409589817476886
R_SNc,MD-dMRI,3000,0.42396796623478605,0.411789998168012,0.3830341253291346,0.4512797411421481,0.5357775326682848
L_SNr,ISO,3000,0.30593503132840594,0.3038117159703062,0.2876018931940052,0.32159395802578994,0.35050646500788124
L_SNr,DTI,3000,0.2999935970907681,0.2981843938912769,0.2845375719060564,0.3122018443773456,0.34246546715708776
L_SNr,MD-dMRI,3000,0.3130964323798078,0.31012731635872803,0.29573849541954966,0.3270571508567257,0.36086183046679887
R_SNr,ISO,3000,0.32542563637503313,0.3239334861535662,0.30606115418081686,0.34277493788641417,0.3664031367495611
R_SNr,DTI,3000,0.32042875496912493,0.31727296207368155,0.2987726134030699,0.3388011903152611,0.3675592177444944
R_SNr,MD-dMRI,3000,0.32571236056194286,0.32377553009763005,0.30897267448705096,0.3404713925528955,0.3662050905717929
L_VTA,ISO,3000,0.3423533091860294,0.34116734816325456,0.333220640592225,0.3507438447231277,0.3637869778823699
L_VTA,DTI,3000,0.33830673141210893,0.33559172336769916,0.3248419357463164,0.34916327889900145,0.3664486803332765
L_VTA,MD-dMRI,3000,0.337815980596616,0.33760622678669916,0.32226771579130725,0.3497704034929805,0.3726379883527305
R_VTA,ISO,3000,0.3688312479563111,0.3676199283659078,0.359731785078629,0.3758118718361898,0.3921995079582138
R_VTA,DTI,3000,0.36698216645947307,0.36734017122142676,0.3590473083805151,0.3737112709957421,0.3907137050389831
R_VTA,MD-dMRI,3000,0.3700263883907601,0.36853999688134886,0.35680871726546026,0.38304136819674306,0.4176466592939045
L_PUT,ISO,3000,0.3048745179873639,0.30421441329817567,0.2993144448199731,0.31029757141486075,0.31746198641204076
L_PUT,DTI,3000,0.32915089265299685,0.3262888063582207,0.31723826224774604,0.3379379996013267,0.36072927428734564
L_PUT,MD-dMRI,3000,0.3601266392213946,0.3619320424080821,0.34930074908349684,0.37163323629009526,0.3839623726188012
R_PUT,ISO,3000,0.24929142629491843,0.2501934462610591,0.24451030548202474,0.2545548309382527,0.2577321091122513
R_PUT,DTI,3000,0.23073939041321187,0.23124274041893095,0.22487387704126074,0.2366332022966024,0.24169093258906668
R_PUT,MD-dMRI,3000,0.21344655520662265,0.21640169090508515,0.2037601388603142,0.22446098573755344,0.2292497578302107
L_Ca,ISO,3000,0.22932863529460598,0.22852274843007117,0.21915004101294439,0.23926419819499642,0.2505842895294615
L_Ca,DTI,3000,0.233069529203186,0.2319886096971893,0.22161263489671418,0.2441296400144664,0.2562617651880382
L_Ca,MD-dMRI,3000,0.2508482894858651,0.25100495693860025,0.23514973746175824,0.26698208109269084,0.2826155177067888
R_Ca,ISO,3000,0.317390074809669,0.3170099386067831,0.3084786558978052,0.3271004453042304,0.3350615756638121
R_Ca,DTI,3000,0.3139693968358695,0.31461548338447776,0.3080566422694232,0.3210960275000745,0.32449157591218375
R_Ca,MD-dMRI,3000,0.30564675306387745,0.30875759821346593,0.2956943582678996,0.3160079333717503,0.32196871439895464
L_NAC,ISO,3000,0.23778262080088844,0.22649590915813173,0.21635962378395796,0.2413498108324258,0.344671863978223
L_NAC,DTI,3000,0.26485083726969294,0.25366297493725953,0.24565482625570695,0.26826763415343274,0.3613919584766716
L_NAC,MD-dMRI,3000,0.25070624365970595,0.23522775580355315,0.2130973133424006,0.27893894732235575,0.35455080270525907
R_NAC,ISO,3000,0.3406768738532515,0.3361481978433044,0.30565373437815285,0.3755016111737153,0.4159211071539066
R_NAC,DTI,3000,0.3355879041845011,0.3323994592324221,0.3007720626846182,0.3692778591852479,0.4049715257876583
R_NAC,MD-dMRI,3000,0.30231473825496863,0.2935061590668572,0.2752735939250325,0.3201809873021728,0.39210628189317115
L_GPi,ISO,3000,0.33522867215828334,0.33525631261942557,0.32552579936092696,0.3455725043038322,0.3536461340256666
L_GPi,DTI,3000,0.3395924443265138,0.3388429759725746,0.32468735135386434,0.3541753779887786,0.3676406834669267
L_GPi,MD-dMRI,3000,0.328685190168597,0.32929014801643214,0.3192164316514623,0.3387207710743532,0.3463046329399715
R_GPi,ISO,3000,0.36472320445277334,0.36533593665137526,0.3573549038745879,0.3724300441963589,0.37982933217867615
R_GPi,DTI,3000,0.3777938731845907,0.377630721071604,0.36142059882708966,0.39483218382248486,0.4121190380988177
R_GPi,MD-dMRI,3000,0.33053718445828556,0.3303946517926546,0.3066364292901953,0.3540751555946433,0.37941954769631536
L_GPe,ISO,3000,0.35168209354492713,0.36213567611790937,0.3534080748404388,0.36783000836036994,0.37188766055321365
L_GPe,DTI,3000,0.37712297482307067,0.3895333910461145,0.37625622209115556,0.39823854059287006,0.4049169899067368
L_GPe,MD-dMRI,3000,0.3551343161310256,0.353047789356003,0.32511269842275475,0.3781951060480229,0.4333739404059118
R_GPe,ISO,3000,0.34520474472440416,0.34623406580877525,0.333426656024185,0.35931808292264145,0.3728933888650209
R_GPe,DTI,3000,0.3410939725388357,0.33995077449456973,0.31889610600355073,0.36570751722527317,0.3906852837994325
R_GPe,MD-dMRI,3000,0.30460267235325506,0.29830037989351443,0.2899067316146987,0.319550741860725,0.350084600923697
L_RN,ISO,3000,0.33765890043322466,0.33106841071237914,0.31544747240640136,0.3544518081708066,0.4007162284187256
L_RN,DTI,3000,0.32342173864059875,0.315221704171437,0.3039895377542339,0.335497639617362,0.3866204488371899
L_RN,MD-dMRI,3000,0.3269418039963272,0.320111125764554,0.30081943837095027,0.3418352449081085,0.4018648783534272
R_RN,ISO,3000,0.36787998315373094,0.36684821075809815,0.34428633164174854,0.3890773619827722,0.41794367744304406
R_RN,DTI,3000,0.3511400402972771,0.34948483515788875,0.32904129812834093,0.369834160654285,0.40436373599033304
R_RN,MD-dMRI,3000,0.34528233523869556,0.3440162922103839,0.3218800269416738,0.36551089517399615,0.3997453856911273
